date,country,language-group,pseudo-user-id
2020-03-20,TR,Turkish,-5966539876048397004
2020-03-24,TR,Turkish,-6209353425453261605
2020-03-02,TR,Turkish,-5739441086985210201
2020-03-19,TR,Turkish,-2584752166342413221
2020-03-08,TR,Turkish,7246497065708636651
2020-03-24,TR,Turkish,-5432694068768422316
2020-03-06,TR,Turkish,-8776432981910722226
2020-03-11,TR,Turkish,620956482594754304
2020-03-17,TR,Turkish,-1757282051156112624
2020-03-05,TR,Turkish,-5999274820697554147
2020-03-18,TR,Turkish,-5359260776246548389
2020-03-10,TR,Turkish,6174596491853659698
2020-03-21,TR,Turkish,-4690962974109498761
2020-03-12,TR,Turkish,-4416218875113339359
2020-03-20,TR,Turkish,-7199147591092753555
2020-03-12,TR,Turkish,-1869947892302055919
2020-03-25,TR,Turkish,-6209353425453261605
2020-03-22,TR,Visa,-4917829316242756130
2020-03-16,TR,Turkish,-95509374954144573
2020-03-10,TR,Turkish,-8949103213623605557
2020-03-15,TR,Turkish,-7508586001130607014
2020-03-08,TR,Turkish,6525267328229167242
2020-03-05,TR,Turkish,1015002629849063974
2020-03-14,TR,Turkish,5575476457123464817
2020-03-19,TR,Turkish,1496920708516592748
2020-03-05,TR,Visa,-8905856493742199062
2020-03-06,TR,Turkish,-5882449605661448771
2020-03-03,TR,Turkish,8448021319714161649
2020-03-05,TR,Turkish,-1785219209787629739
2020-03-12,TR,Turkish,7384335436632065816
2020-03-21,TR,Turkish,5340795017070506095
2020-03-08,TR,Turkish,161247311316960293
2020-02-29,TR,Turkish,-7434135437647246272
2020-03-10,TR,Turkish,-96128271634771803
2020-03-03,TR,Turkish,5226976520077305370
2020-03-08,TR,Turkish,3419684682731796089
2020-02-26,TR,Turkish,5796686588870187072
2020-03-19,TR,Turkish,5858092041032357093
2020-03-21,TR,Turkish,-316233761380134224
2020-03-23,TR,Turkish,3001709428725612192
2020-03-21,TR,Turkish,-5784689167217783823
2020-03-21,TR,Turkish,-7144284901672150858
2020-03-10,TR,Turkish,2159604611065357039
2020-03-11,TR,Turkish,1278240131411063998
2020-03-16,TR,Turkish,-5223311946130940329
2020-03-09,TR,Turkish,-2862480437365245157
2020-03-22,TR,Turkish,-5530812145737449229
2020-03-06,TR,Turkish,-7280735637508016338
2020-03-14,TR,Turkish,-6752409444440803044
2020-03-08,TR,Turkish,-5382994645979487796
2020-03-22,TR,Turkish,-8009435504500414683
2020-02-28,TR,Turkish,5713794283999762865
2020-03-06,TR,Turkish,4835056123969628956
2020-03-13,TR,Turkish,-5575232794400764108
2020-03-16,TR,Turkish,-5530812145737449229
